STEM_V1_CL-Z891-SIDE_20
STEM_U0_CL-Z891-SIDE_20
STEM_U1_CL-Z891-SIDE_32
STEM_U2_CL-Z891-SIDE_44
STEM_U3_CL-Z891-SIDE_52
STEM_U4_CL-Z891-SIDE_60
STEM_U5_CL-Z891-SIDE_68
STEM_U6_CL-Z891-SIDE_76
STEM_U7_CL-Z891-SIDE_68
STEM_U8_CL-Z891-SIDE_72
STEM_U9_CL-Z891-SIDE_68
