STEM_PANEL3AM_CL-341S-FLAT_176
STEM_PANEL3BM_CL-341S-FLAT_154
STEM_PANEL2BM_CL-341S-FLAT_56
STEM_PANEL2AM_CL-341S-FLAT_56
STEM_PANEL1AM_CL-341S-FLAT_40
STEM_PANEL1BM_CL-341S-FLAT_84
