STEM_U20_CL-Z891-SIDE_16
STEM_U21_CL-Z891-SIDE_12
STEM_U19_CL-Z891-SIDE_8
STEM_V13-14-15-16-17_CL-Z891-SIDE_44
STEM_U18_CL-Z891-SIDE_8
STEM_U17_CL-Z891-SIDE_4
STEM_U16_CL-Z891-SIDE_4
STEM_V18_CL-Z891-SIDE_12
STEM_V19_CL-Z891-SIDE_20
STEM_V21-20_CL-Z891-SIDE_16
