STEM_PANEL3A_CL-341S-FLAT_176
STEM_PANEL3B_CL-341S-FLAT_154
STEM_PANEL2B_CL-341S-FLAT_56
STEM_PANEL2A_CL-341S-FLAT_56
STEM_PANEL1A_CL-341S-FLAT_40
STEM_PANEL1B_CL-341S-FLAT_84
