0,STEM,V0,CL-Z891-SIDE,60
60,STEM,V24,CL-Z891-SIDE,36
96,STEM,V23,CL-Z891-SIDE,24
120,STEM,V22,CL-Z891-SIDE,16
136,STEM,EYE,CL-341S-FLAT,116
